person_id,position,years,team,b_games,b_ab,b_pa,b_h,b_bb,b_hbp,b_sf,b_tb,b_so,b_hr,b_war,b_wpa_bat,b_leverage_index_avg,b_wpa_li_adjusted,b_clutch
albies000ozh,2B,9,ATL,1028.0000,4088.0000,4471.0000,1086.0000,307.0000,35.0000,37.0000,1858.0000,735.0000,157.0000,24.1300,3.6780,0.9528,5.1180,-1.0445
alonso000pet,1B,7,NYM,1008.0000,3763.0000,4316.0000,951.0000,419.0000,100.0000,34.0000,1942.0000,984.0000,264.0000,23.2900,12.3150,1.0224,14.7230,-2.6312
altuve001jos,2B,10,HOU,1308.0000,5160.0000,5764.0000,1558.0000,509.0000,56.0000,29.0000,2544.0000,831.0000,219.0000,40.7700,12.8410,0.9677,18.3750,-4.6311
alvare000yor,DH,7,HOU,677.0000,2455.0000,2867.0000,728.0000,346.0000,40.0000,26.0000,1406.0000,566.0000,170.0000,24.2500,17.4710,0.8999,20.0320,-1.6793
anders003tim,SS,10,CHW,991.0000,3939.0000,4139.0000,1088.0000,153.0000,25.0000,11.0000,1603.0000,980.0000,98.0000,15.2100,-9.8200,0.9388,-6.1280,-3.7352
arenad001nol,3B,10,COL,1386.0000,5273.0000,5868.0000,1490.0000,495.0000,34.0000,62.0000,2686.0000,854.0000,283.0000,45.3200,19.3950,1.0129,18.3150,1.9045
arraez000lui,2B,7,MIN,840.0000,3244.0000,3533.0000,1028.0000,230.0000,20.0000,24.0000,1341.0000,215.0000,36.0000,16.3900,3.2380,0.9560,3.1250,0.4793
bader-000har,CF,9,STL,924.0000,2745.0000,3046.0000,679.0000,214.0000,58.0000,25.0000,1101.0000,743.0000,88.0000,17.2700,0.9700,0.9813,-2.1630,3.2749
baez--000jav,SS,10,CHC,1268.0000,4505.0000,4809.0000,1148.0000,209.0000,57.0000,27.0000,1979.0000,1284.0000,183.0000,27.7500,-0.7650,1.0112,-1.4280,0.6230
bell--007jos,1B,10,PIT,1287.0000,4503.0000,5159.0000,1153.0000,577.0000,28.0000,41.0000,1997.0000,962.0000,193.0000,8.6300,3.5020,1.0068,7.6070,-4.1211
bellin000cod,OF,9,LAD,1157.0000,4230.0000,4765.0000,1102.0000,469.0000,20.0000,45.0000,2044.0000,957.0000,225.0000,30.4500,11.4720,0.9831,13.8480,-2.2036
benint000and,LF,10,BOS,1147.0000,4250.0000,4776.0000,1135.0000,442.0000,28.0000,44.0000,1772.0000,841.0000,118.0000,16.4900,5.7450,1.0106,4.1320,1.7913
