person_id,position,years,team,p_g,p_gs,p_er,p_ip_outs,p_bb,p_h,p_so,p_war,p_game_score_sum,p_qs
alcant000san,SP,8,FLA,177.0000,169.0000,436.0000,3226.0000,330.0000,934.0000,931.0000,20.6700,9336.0000,95.0000
assad-000jav,SP,4,CHC,78.0000,54.0000,126.0000,993.0000,136.0000,304.0000,271.0000,5.0700,2783.0000,13.0000
bassit000chr,SP,9,OAK,208.0000,200.0000,470.0000,3489.0000,366.0000,1072.0000,1106.0000,16.5000,10749.0000,98.0000
berrio000jos,SP,10,MIN,275.0000,273.0000,713.0000,4715.0000,473.0000,1474.0000,1481.0000,16.9000,14395.0000,139.0000
boyd--000mat,SP,10,DET,200.0000,187.0000,505.0000,3092.0000,316.0000,982.0000,1002.0000,13.4400,9583.0000,75.0000
brown-009ben,RP,2,CHC,40.0000,23.0000,92.0000,485.0000,51.0000,162.0000,185.0000,-0.7200,1121.0000,5.0000
burnes000cor,SP,8,MIL,210.0000,149.0000,339.0000,2904.0000,280.0000,756.0000,1114.0000,19.0500,8822.0000,91.0000
castil013lui,SP,9,CIN,243.0000,243.0000,557.0000,4232.0000,453.0000,1208.0000,1493.0000,25.8400,13518.0000,135.0000
cease-000dyl,SP,7,CHW,188.0000,188.0000,438.0000,3046.0000,430.0000,854.0000,1231.0000,16.7100,10203.0000,69.0000
darvis001yu-,SP,10,SDP,214.0000,214.0000,523.0000,3698.0000,345.0000,1026.0000,1395.0000,21.0000,11996.0000,110.0000
degrom001jac,SP,10,NYM,196.0000,196.0000,344.0000,3625.0000,264.0000,907.0000,1502.0000,36.8500,12253.0000,131.0000
diaz--004edw,RP,9,NYM,520.0000,0.0000,163.0000,1558.0000,182.0000,356.0000,839.0000,13.8400,0.0000,0.0000
duran-000jho,RP,4,MIN,246.0000,0.0000,69.0000,763.0000,75.0000,202.0000,319.0000,8.1900,0.0000,0.0000
eovald001nat,SP,9,BOS,206.0000,191.0000,456.0000,3264.0000,267.0000,1002.0000,1045.0000,18.8000,10322.0000,84.0000
flaher000jac,SP,9,STL,190.0000,184.0000,418.0000,2972.0000,351.0000,836.0000,1130.0000,13.7300,10055.0000,76.0000
fried-001max,SP,9,ATL,200.0000,183.0000,364.0000,3239.0000,297.0000,947.0000,1052.0000,27.3600,10350.0000,102.0000
