2026-04-30 12:25:23,962 : INFO : collecting all words and their counts
2026-04-30 12:25:23,985 : INFO : PROGRESS: at sentence #0, processed 0 words, keeping 0 word types
2026-04-30 12:25:25,028 : INFO : PROGRESS: at sentence #10000, processed 6683016 words, keeping 33889 word types
2026-04-30 12:25:26,453 : INFO : PROGRESS: at sentence #20000, processed 13396064 words, keeping 43349 word types
2026-04-30 12:25:27,438 : INFO : PROGRESS: at sentence #30000, processed 19798775 words, keeping 51765 word types
2026-04-30 12:25:28,489 : INFO : PROGRESS: at sentence #40000, processed 25667632 words, keeping 57720 word types
2026-04-30 12:25:29,550 : INFO : PROGRESS: at sentence #50000, processed 31405485 words, keeping 62326 word types
2026-04-30 12:25:30,445 : INFO : PROGRESS: at sentence #60000, processed 37045053 words, keeping 66176 word types
2026-04-30 12:25:31,336 : INFO : PROGRESS: at sentence #70000, processed 42477078 words, keeping 69387 word types
2026-04-30 12:25:32,223 : INFO : PROGRESS: at sentence #80000, processed 48076528 words, keeping 72226 word types
2026-04-30 12:25:33,132 : INFO : PROGRESS: at sentence #90000, processed 53205331 words, keeping 74655 word types
2026-04-30 12:25:34,072 : INFO : PROGRESS: at sentence #100000, processed 58637424 words, keeping 77193 word types
2026-04-30 12:25:35,471 : INFO : PROGRESS: at sentence #110000, processed 64679376 words, keeping 80441 word types
2026-04-30 12:25:36,384 : INFO : PROGRESS: at sentence #120000, processed 70839337 words, keeping 83336 word types
2026-04-30 12:25:36,564 : INFO : collected 83821 word types from a corpus of 72043079 raw words and 121816 sentences
2026-04-30 12:25:36,564 : INFO : Creating a fresh vocabulary
2026-04-30 12:25:37,016 : INFO : Word2Vec lifecycle event {'msg': 'effective_min_count=10 retains 31488 unique words (37.57% of original 83821, drops 52333)', 'datetime': '2026-04-30T12:25:36.638759', 'gensim': '4.4.0', 'python': '3.12.4 | packaged by Anaconda, Inc. | (main, Jun 18 2024, 15:03:56) [MSC v.1929 64 bit (AMD64)]', 'platform': 'Windows-11-10.0.26200-SP0', 'event': 'prepare_vocab'}
2026-04-30 12:25:37,016 : INFO : Word2Vec lifecycle event {'msg': 'effective_min_count=10 leaves 71914119 word corpus (99.82% of original 72043079, drops 128960)', 'datetime': '2026-04-30T12:25:37.016606', 'gensim': '4.4.0', 'python': '3.12.4 | packaged by Anaconda, Inc. | (main, Jun 18 2024, 15:03:56) [MSC v.1929 64 bit (AMD64)]', 'platform': 'Windows-11-10.0.26200-SP0', 'event': 'prepare_vocab'}
2026-04-30 12:25:37,155 : INFO : deleting the raw counts dictionary of 83821 items
2026-04-30 12:25:37,171 : INFO : sample=1e-05 downsamples 2995 most-common words
2026-04-30 12:25:37,171 : INFO : Word2Vec lifecycle event {'msg': 'downsampling leaves estimated 16103061.694984201 word corpus (22.4%% of prior 71914119)', 'datetime': '2026-04-30T12:25:37.171871', 'gensim': '4.4.0', 'python': '3.12.4 | packaged by Anaconda, Inc. | (main, Jun 18 2024, 15:03:56) [MSC v.1929 64 bit (AMD64)]', 'platform': 'Windows-11-10.0.26200-SP0', 'event': 'prepare_vocab'}
2026-04-30 12:25:37,327 : INFO : estimated required memory for 31488 words and 300 dimensions: 91315200 bytes
2026-04-30 12:25:37,327 : INFO : resetting layer weights
2026-04-30 12:25:37,356 : INFO : Word2Vec lifecycle event {'update': False, 'trim_rule': 'None', 'datetime': '2026-04-30T12:25:37.356900', 'gensim': '4.4.0', 'python': '3.12.4 | packaged by Anaconda, Inc. | (main, Jun 18 2024, 15:03:56) [MSC v.1929 64 bit (AMD64)]', 'platform': 'Windows-11-10.0.26200-SP0', 'event': 'build_vocab'}
2026-04-30 12:25:37,356 : INFO : Word2Vec lifecycle event {'msg': 'training model with 1 workers on 31488 vocabulary and 300 features, using sg=1 hs=0 sample=1e-05 negative=5 window=10 shrink_windows=True', 'datetime': '2026-04-30T12:25:37.356900', 'gensim': '4.4.0', 'python': '3.12.4 | packaged by Anaconda, Inc. | (main, Jun 18 2024, 15:03:56) [MSC v.1929 64 bit (AMD64)]', 'platform': 'Windows-11-10.0.26200-SP0', 'event': 'train'}
2026-04-30 12:25:38,369 : INFO : EPOCH 0 - PROGRESS: at 0.35% examples, 70094 words/s, in_qsize 2, out_qsize 0
2026-04-30 12:25:39,389 : INFO : EPOCH 0 - PROGRESS: at 0.80% examples, 76088 words/s, in_qsize 2, out_qsize 0
2026-04-30 12:25:40,398 : INFO : EPOCH 0 - PROGRESS: at 1.26% examples, 78196 words/s, in_qsize 1, out_qsize 0
2026-04-30 12:25:41,401 : INFO : EPOCH 0 - PROGRESS: at 1.72% examples, 79130 words/s, in_qsize 2, out_qsize 0
2026-04-30 12:25:42,407 : INFO : EPOCH 0 - PROGRESS: at 2.19% examples, 79721 words/s, in_qsize 1, out_qsize 0
2026-04-30 12:25:43,416 : INFO : EPOCH 0 - PROGRESS: at 2.61% examples, 78934 words/s, in_qsize 1, out_qsize 0
2026-04-30 12:25:44,426 : INFO : EPOCH 0 - PROGRESS: at 3.05% examples, 78395 words/s, in_qsize 1, out_qsize 0
2026-04-30 12:25:45,434 : INFO : EPOCH 0 - PROGRESS: at 3.49% examples, 78586 words/s, in_qsize 2, out_qsize 0
2026-04-30 12:25:46,441 : INFO : EPOCH 0 - PROGRESS: at 3.96% examples, 78926 words/s, in_qsize 1, out_qsize 0
2026-04-30 12:25:47,457 : INFO : EPOCH 0 - PROGRESS: at 4.40% examples, 78852 words/s, in_qsize 1, out_qsize 0
2026-04-30 12:25:48,470 : INFO : EPOCH 0 - PROGRESS: at 4.87% examples, 78905 words/s, in_qsize 1, out_qsize 0
2026-04-30 12:25:49,478 : INFO : EPOCH 0 - PROGRESS: at 5.33% examples, 78815 words/s, in_qsize 1, out_qsize 0
2026-04-30 12:25:50,501 : INFO : EPOCH 0 - PROGRESS: at 5.72% examples, 77593 words/s, in_qsize 1, out_qsize 0
2026-04-30 12:25:51,519 : INFO : EPOCH 0 - PROGRESS: at 6.09% examples, 76838 words/s, in_qsize 1, out_qsize 0
2026-04-30 12:25:52,525 : INFO : EPOCH 0 - PROGRESS: at 6.45% examples, 76903 words/s, in_qsize 1, out_qsize 0
2026-04-30 12:25:53,556 : INFO : EPOCH 0 - PROGRESS: at 6.84% examples, 76848 words/s, in_qsize 1, out_qsize 0
2026-04-30 12:25:54,575 : INFO : EPOCH 0 - PROGRESS: at 7.15% examples, 75883 words/s, in_qsize 1, out_qsize 0
2026-04-30 12:25:55,579 : INFO : EPOCH 0 - PROGRESS: at 7.46% examples, 75415 words/s, in_qsize 1, out_qsize 0
2026-04-30 12:25:56,603 : INFO : EPOCH 0 - PROGRESS: at 7.82% examples, 75185 words/s, in_qsize 1, out_qsize 0
2026-04-30 12:25:57,607 : INFO : EPOCH 0 - PROGRESS: at 8.19% examples, 75040 words/s, in_qsize 1, out_qsize 0
2026-04-30 12:25:58,614 : INFO : EPOCH 0 - PROGRESS: at 8.57% examples, 75204 words/s, in_qsize 1, out_qsize 0
2026-04-30 12:25:59,622 : INFO : EPOCH 0 - PROGRESS: at 8.96% examples, 75330 words/s, in_qsize 2, out_qsize 0
2026-04-30 12:26:00,640 : INFO : EPOCH 0 - PROGRESS: at 9.35% examples, 75269 words/s, in_qsize 1, out_qsize 0
2026-04-30 12:26:01,641 : INFO : EPOCH 0 - PROGRESS: at 9.74% examples, 75159 words/s, in_qsize 1, out_qsize 0
2026-04-30 12:26:02,647 : INFO : EPOCH 0 - PROGRESS: at 10.08% examples, 74625 words/s, in_qsize 2, out_qsize 0
2026-04-30 12:26:03,652 : INFO : EPOCH 0 - PROGRESS: at 10.49% examples, 74582 words/s, in_qsize 2, out_qsize 0
2026-04-30 12:26:04,667 : INFO : EPOCH 0 - PROGRESS: at 10.97% examples, 74838 words/s, in_qsize 1, out_qsize 0
2026-04-30 12:26:05,686 : INFO : EPOCH 0 - PROGRESS: at 11.43% examples, 75085 words/s, in_qsize 1, out_qsize 0
2026-04-30 12:26:06,689 : INFO : EPOCH 0 - PROGRESS: at 11.90% examples, 75357 words/s, in_qsize 2, out_qsize 0
2026-04-30 12:26:07,705 : INFO : EPOCH 0 - PROGRESS: at 12.37% examples, 75598 words/s, in_qsize 2, out_qsize 0
2026-04-30 12:26:08,709 : INFO : EPOCH 0 - PROGRESS: at 12.84% examples, 75787 words/s, in_qsize 2, out_qsize 0
